USAF,WBAN,STATION_NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,ABSENT,FETCH_DATE
060130,99999,KATIMA MULILO ARPT/OKAMAPU,WA,,FYMP,-17.634,+024.177,+0958.0,2016-08-04,2018-10-28,,2026-07-07
680010,99999,MPACHA AIRPORT,WA,,,-17.633,+024.183,+0985.0,2008-01-03,2008-12-31,,2026-07-07
680015,99999,MPACHA (CIV/MIL),WA,,FAMP,-17.633,+024.183,+0985.0,1988-01-06,1990-05-15,,2026-07-07
680020,99999,EROS,WA,,FYWE,-22.612,+017.080,+1699.3,1973-06-20,2025-08-24,,2026-07-07
680021,99999,OPUWA,WA,,FYOP,-18.067,+013.850,+1149.0,2012-03-02,2018-09-16,,2026-07-07
680022,99999,HENTIES BAY,WA,,FYHN,-22.117,+014.283,+0003.0,2009-03-11,2018-09-16,,2026-07-07
680023,99999,KHORIXAS,WA,,FYKX,-20.367,+014.967,+1026.0,2009-03-11,2018-09-16,,2026-07-07
680025,99999,KATIMA MULILO,WA,,,-17.633,+024.167,+0958.0,2007-12-29,2025-08-24,,2026-07-07
680026,99999,ORANJEMUND,WA,,FYOG,-28.585,+016.447,+0004.3,2009-11-04,2025-08-24,,2026-07-07
680027,99999,AUS,WA,,FYAS,-26.667,+016.292,+0459.9,2009-11-04,2015-08-08,,2026-07-07
680029,99999,TSUMKWE,WA,,FYTK,-19.583,+020.533,+0351.1,2009-11-04,2015-12-14,,2026-07-07
680031,99999,TERRACE BAY,WA,,FYTE,-19.983,+013.000,+0005.0,2009-11-04,2012-07-18,,2026-07-07
680032,99999,OTJINENE,WA,,FYTN,-21.133,+018.767,+0442.9,2009-11-04,2018-09-16,,2026-07-07
680035,99999,ARANOS,WA,,FYAN,-24.167,+019.167,+1189.0,2008-07-21,2015-08-08,,2026-07-07
680040,99999,OTJIWARONGO,WA,,FYOW,-20.430,+016.670,+1475.0,1973-01-02,2025-08-24,,2026-07-07
680045,99999,EENHANA,WA,,FYEN,-17.483,+016.322,+1115.6,2008-07-22,2018-09-16,,2026-07-07
680055,99999,TSUMEB,WA,,,-19.267,+017.733,+1327.0,2008-07-21,2008-08-14,,2026-07-07
680060,99999,ONDANGWA,WA,,FYOA,-17.878,+015.953,+1097.0,1973-01-18,2025-08-24,,2026-07-07
680065,99999,OOTMOED,WA,,FYOT,-24.017,+019.733,+1200.0,2009-07-01,2018-09-16,,2026-07-07
680066,99999,NOORDOEWER,WA,,FYND,-28.750,+017.617,+0150.0,2010-07-06,2015-08-08,,2026-07-07
680067,99999,MALTAHOHE,WA,,FYMH,-24.767,+016.983,+1365.5,2012-03-02,2015-08-08,,2026-07-07
680068,99999,OSHAKATI,WA,,FYOS,-17.800,+015.700,+1097.3,2012-03-02,2018-09-16,,2026-07-07
680069,99999,BAGANI,WA,,FYBG,-18.117,+021.617,+1011.0,2012-03-02,2015-08-08,,2026-07-07
680071,99999,OKAHAO,WA,,FYOH,-17.884,+015.067,+1097.3,2012-03-02,2018-09-16,,2026-07-07
680072,99999,AROAB,WA,,FYAB,-26.783,+019.633,+0987.0,2012-03-02,2018-09-16,,2026-07-07
680075,99999,OKAKARARA,WA,,FYOK,-20.603,+017.468,+1350.0,2010-04-22,2012-07-18,,2026-07-07
680100,99999,OKAUKUEJO,WA,,FYOO,-19.183,+015.917,+1100.0,1974-06-03,2022-03-23,,2026-07-07
680120,99999,TSUMEB,WA,,FYTM,-19.262,+017.733,+1326.8,1949-01-05,2017-11-19,,2026-07-07
680130,99999,ONDANGWA,WA,,,-17.883,+015.950,+1096.0,2004-08-31,2012-07-06,,2026-07-07
680140,99999,GROOTFONTEIN,WA,,FYGF,-19.602,+018.123,+1413.1,1973-01-01,2025-08-24,,2026-07-07
680150,99999,OTJIWARONGO,WA,,,-20.433,+016.667,+1475.0,2004-09-21,2008-12-31,,2026-07-07
680151,99999,KARASBURG,WA,,FYKB,-28.000,+018.750,+1017.0,2008-08-11,2015-08-08,,2026-07-07
680152,99999,OKONGO,WA,,FYKG,-17.567,+017.217,+1152.0,2008-08-11,2018-09-16,,2026-07-07
680153,99999,SESFONTEIN,WA,,FYSF,-19.133,+013.600,+0564.0,2010-11-15,2018-09-16,,2026-07-07
680160,99999,MOWE BAY,WA,,,-19.333,+012.717,+0000.0,1973-01-01,1997-12-31,,2026-07-07
680180,99999,RUNDU,WA,,FYRU,-17.956,+019.719,+1105.5,1973-01-02,2025-08-24,,2026-07-07
680980,99999,WALVIS BAY,WA,,FYWB,-22.980,+014.645,+0091.1,1990-02-14,2025-08-24,,2026-07-07
681000,99999,SWAKOPMUND,WA,,FYSM,-22.658,+014.567,+0015.9,1949-01-01,2012-07-11,,2026-07-07
681020,99999,OUTJO,WA,,,-20.114,+016.154,+1250.0,1960-01-01,2024-03-26,,2026-07-07
681040,99999,WALVIS BAY (PELICAN POINT),WA,,,-22.883,+014.433,+0000.0,1965-05-02,1997-12-31,,2026-07-07
681041,99999,MARIENTAL,WA,,FYML,-24.605,+017.925,+1112.5,2005-02-17,2021-08-24,,2026-07-07
681045,99999,ROOIKOP (SAAF/CIV),WA,,FYRK,-22.983,+014.650,+0088.0,1987-07-20,2012-03-28,,2026-07-07
681060,99999,GOBABEB,WA,,FYGO,-23.570,+015.050,+0400.0,1973-01-01,1997-12-31,,2026-07-07
681080,99999,UIS,WA,,,-21.233,+014.850,+0800.0,1973-01-01,2016-08-04,,2026-07-07
681090,99999,BITTERWASSER,WA,,,-23.867,+018.000,+1274.0,2008-04-23,2021-12-12,,2026-07-07
681100,99999,WINDHOEK/EROS(SAAF),WA,,FYWW,-22.567,+017.100,+1725.0,1957-07-01,2025-08-24,,2026-07-07
681105,99999,WINDHOEK (MET),WA,,FAWW,-23.500,+017.000,+1700.0,1988-01-05,1991-06-27,,2026-07-07
681110,99999,OUTJO,WA,,FYOJ,-20.070,+016.130,+1324.0,2004-11-23,2018-09-16,,2026-07-07
681115,99999,REHOBETH,WA,,FYRH,-23.250,+017.067,+1385.0,2009-08-19,2018-09-16,,2026-07-07
681120,99999,HOSEA KUTAKO INTL,WA,,FYWH,-22.480,+017.471,+1719.1,1973-01-01,2025-08-24,,2026-07-07
681140,99999,OMARURU,WA,,FYOM,-21.417,+015.933,+1217.0,2001-09-16,2025-08-24,,2026-07-07
681160,99999,GOBABIS,WA,,FYGB,-22.500,+018.967,+1387.0,1960-01-01,2025-08-24,,2026-07-07
682120,99999,MARIENTAL,WA,,,-24.500,+017.867,+1100.0,1960-01-01,2024-08-26,,2026-07-07
683000,99999,LUDERITZ (DIAZ POINT),WA,,,-26.683,+015.250,+0139.0,1949-01-03,2025-08-24,False,2026-07-07
683005,99999,LUDERITZ,WA,,FYLZ,-26.687,+015.243,+0139.3,2000-04-12,2025-08-24,False,2026-07-07
683120,99999,KEETMANSHOOP,WA,,FYKT,-26.540,+018.111,+1068.6,1949-01-04,2025-08-24,,2026-07-07
